99.9,99.6,91.8,100.0,100.0,0.78,1.01,9.10,359.56,5.38,-6.25,0,0
99.7,99.1,90.6,100.0,100.0,0.76,0.99,9.14,359.56,5.38,-6.25,0,0
99.2,99.4,91.0,100.0,100.0,0.76,1.00,9.11,359.56,5.38,-6.25,0,0
100.0,99.2,91.3,100.0,100.0,0.75,1.01,9.11,359.56,5.38,-6.25,0,0
94.8,95.9,91.0,100.0,100.0,0.77,1.01,9.15,359.56,5.38,-6.25,0,0
94.5,96.0,90.9,100.0,100.0,0.78,1.00,9.13,359.56,5.38,-6.25,0,0
93.8,95.6,90.4,100.0,100.0,0.79,1.01,9.12,359.56,5.38,-6.25,0,0
98.3,98.3,90.7,100.0,100.0,0.76,1.00,9.13,359.56,5.38,-6.25,0,0
100.0,100.0,91.7,100.0,100.0,0.78,1.02,9.13,359.56,5.38,-6.25,0,0
98.5,99.0,90.7,100.0,100.0,0.75,1.01,9.10,359.56,5.38,-6.25,0,0
94.3,96.0,90.6,100.0,100.0,0.79,1.00,9.11,359.56,5.38,-6.25,0,0
96.4,96.9,88.6,100.0,100.0,0.77,1.02,9.12,359.56,5.38,-6.25,0,0
99.8,98.8,91.5,100.0,100.0,0.76,1.01,9.11,359.56,5.38,-6.25,0,0
93.8,98.6,91.6,100.0,100.0,0.77,1.01,9.13,359.56,5.38,-6.25,0,0
92.5,97.9,91.6,100.0,100.0,0.79,1.00,9.12,359.56,5.38,-6.25,0,0
99.6,99.9,92.2,100.0,100.0,0.78,1.01,9.10,359.56,5.38,-6.25,0,0
95.0,96.0,87.9,100.0,100.0,0.77,1.00,9.13,359.56,5.38,-6.25,0,0
94.6,95.8,91.2,100.0,100.0,0.78,1.01,9.12,359.56,5.38,-6.25,0,0
96.0,96.8,88.6,100.0,100.0,0.76,1.01,9.14,359.56,5.38,-6.25,0,0
92.5,97.8,91.9,100.0,100.0,0.78,1.01,9.12,359.56,5.38,-6.25,0,0
98.3,99.4,90.9,100.0,100.0,0.76,0.99,9.13,359.56,5.38,-6.25,0,0
100.0,99.5,91.9,100.0,100.0,0.78,1.01,9.11,359.56,5.38,-6.25,0,0
100.0,100.0,91.2,100.0,100.0,0.78,1.01,9.13,359.56,5.38,-6.25,0,0
94.6,96.0,89.3,100.0,100.0,0.78,1.00,9.14,359.56,5.38,-6.25,0,0
100.0,99.0,91.7,100.0,100.0,0.78,1.01,9.13,359.56,5.38,-6.25,0,0
100.0,100.0,91.4,100.0,100.0,0.77,1.01,9.11,359.56,5.38,-6.25,0,0
100.0,99.1,91.8,100.0,100.0,0.77,1.00,9.10,359.56,5.38,-6.25,0,0
100.0,99.1,90.5,100.0,100.0,0.78,1.00,9.14,359.56,5.38,-6.25,0,0
100.0,99.9,91.9,100.0,100.0,0.79,1.01,9.13,359.56,5.38,-6.25,0,0
94.1,95.5,88.0,100.0,100.0,0.76,1.01,9.13,359.56,5.38,-6.25,0,0
94.1,95.8,90.5,100.0,100.0,0.77,1.00,9.11,359.56,5.38,-6.25,0,0
94.3,98.8,91.7,100.0,100.0,0.76,1.00,9.12,359.56,5.38,-6.25,0,0
93.7,95.6,90.8,100.0,100.0,0.79,1.01,9.12,359.56,5.38,-6.25,0,0
100.0,99.5,91.6,100.0,100.0,0.79,1.02,9.10,359.56,5.38,-6.25,0,0
99.4,99.2,91.0,100.0,100.0,0.79,1.03,9.14,359.56,5.38,-6.25,0,0
99.4,99.0,90.5,100.0,100.0,0.79,1.03,9.08,359.56,5.38,-6.25,0,0
93.4,96.7,91.5,100.0,100.0,0.78,0.99,9.12,359.56,5.38,-6.25,0,0
96.1,99.0,92.0,100.0,100.0,0.78,1.02,9.12,359.56,5.38,-6.25,0,0
98.1,99.9,91.8,100.0,100.0,0.78,0.99,9.13,359.56,5.38,-6.25,0,0
96.2,96.9,88.6,100.0,100.0,0.78,1.01,9.14,359.56,5.38,-6.25,0,0
97.7,99.2,91.6,100.0,100.0,0.77,1.03,9.11,359.56,5.38,-6.25,0,0
99.4,98.7,90.3,100.0,100.0,0.79,0.97,9.15,359.56,5.38,-6.25,0,0
95.4,95.8,87.9,100.0,100.0,0.77,1.00,9.13,359.56,5.38,-6.25,0,0
97.9,99.7,92.4,100.0,100.0,0.78,1.01,9.14,359.56,5.38,-6.25,0,0
93.6,95.8,91.3,100.0,100.0,0.76,1.00,9.14,359.56,5.38,-6.25,0,0
99.4,98.8,90.3,100.0,100.0,0.78,1.01,9.10,359.56,5.38,-6.25,0,0
98.9,99.9,92.4,100.0,100.0,0.78,1.03,9.14,359.56,5.38,-6.25,0,0
94.6,98.3,91.9,100.0,100.0,0.77,1.02,9.13,359.56,5.38,-6.25,0,0
94.3,98.5,92.3,100.0,100.0,0.77,1.01,9.11,359.56,5.38,-6.25,0,0
93.9,97.4,72.4,100.0,100.0,-1.70,0.77,9.78,356.81,-9.69,-4.50,0,0
89.0,94.4,69.7,100.0,100.0,-1.71,0.78,9.77,356.81,-9.69,-4.50,0,0
87.1,96.2,73.1,100.0,100.0,-1.69,0.80,9.79,356.81,-9.69,-4.50,0,0
95.2,97.0,72.1,100.0,100.0,-1.71,0.82,9.81,356.81,-9.69,-4.50,0,0
88.2,94.2,69.6,100.0,100.0,-1.70,0.81,9.74,356.81,-9.69,-4.50,0,0
87.1,96.1,73.5,100.0,100.0,-1.68,0.79,9.79,356.81,-9.69,-4.50,0,0
87.7,93.7,69.3,100.0,100.0,-1.69,0.79,9.79,356.81,-9.69,-4.50,0,0
92.9,97.9,72.7,100.0,100.0,-1.70,0.81,9.78,356.81,-9.69,-4.50,0,0
93.6,97.8,72.8,100.0,100.0,-1.72,0.79,9.76,356.81,-9.69,-4.50,0,0
94.9,97.8,72.5,100.0,100.0,-1.70,0.78,9.75,356.81,-9.69,-4.50,0,0
93.4,97.4,72.8,100.0,100.0,-1.70,0.81,9.77,356.81,-9.69,-4.50,0,0
87.4,94.9,72.6,100.0,100.0,-1.68,0.78,9.78,356.81,-9.69,-4.50,0,0
87.4,93.6,71.9,100.0,100.0,-1.69,0.80,9.79,356.81,-9.69,-4.50,0,0
93.9,97.4,72.7,100.0,100.0,-1.72,0.81,9.81,356.81,-9.69,-4.50,0,0
87.0,93.7,70.0,100.0,100.0,-1.73,0.78,9.77,356.81,-9.69,-4.50,0,0
94.6,97.3,72.3,100.0,100.0,-1.69,0.79,9.76,356.81,-9.69,-4.50,0,0
89.4,94.3,69.7,100.0,100.0,-1.72,0.78,9.75,356.81,-9.69,-4.50,0,0
87.5,94.0,72.2,100.0,100.0,-1.70,0.80,9.76,356.81,-9.69,-4.50,0,0
89.1,94.1,69.6,100.0,100.0,-1.71,0.80,9.78,356.81,-9.69,-4.50,0,0
87.3,94.0,72.2,100.0,100.0,-1.70,0.81,9.76,356.81,-9.69,-4.50,0,0
92.5,96.5,72.2,100.0,100.0,-1.70,0.81,9.79,356.81,-9.69,-4.50,0,0
90.5,95.1,70.2,100.0,100.0,-1.72,0.81,9.79,356.81,-9.69,-4.50,0,0
91.0,95.3,70.7,100.0,100.0,-1.70,0.78,9.78,356.81,-9.69,-4.50,0,0
92.3,97.0,72.1,100.0,100.0,-1.69,0.78,9.78,356.81,-9.69,-4.50,0,0
93.4,96.5,71.6,100.0,100.0,-1.71,0.79,9.79,356.81,-9.69,-4.50,0,0
94.8,97.4,72.1,100.0,100.0,-1.69,0.81,9.77,356.81,-9.69,-4.50,0,0
88.3,94.1,69.6,100.0,100.0,-1.69,0.80,9.77,356.81,-9.69,-4.50,0,0
94.5,96.8,71.8,100.0,100.0,-1.71,0.81,9.76,356.81,-9.69,-4.50,0,0
93.0,97.0,72.4,100.0,100.0,-1.71,0.81,9.76,356.81,-9.69,-4.50,0,0
92.3,97.4,73.0,100.0,100.0,-1.70,0.79,9.76,356.81,-9.69,-4.50,0,0
92.8,96.7,73.2,100.0,100.0,-1.70,0.81,9.76,356.81,-9.69,-4.50,0,0
92.8,96.8,72.2,100.0,100.0,-1.69,0.80,9.77,356.81,-9.69,-4.50,0,0
87.4,95.2,72.6,100.0,100.0,-1.70,0.81,9.79,356.81,-9.69,-4.50,0,0
89.7,94.7,70.2,100.0,100.0,-1.70,0.79,9.80,356.81,-9.69,-4.50,0,0
87.7,95.0,73.4,100.0,100.0,-1.68,0.79,9.76,356.81,-9.69,-4.50,0,0
94.5,97.5,73.0,100.0,100.0,-1.72,0.79,9.78,356.81,-9.69,-4.50,0,0
93.2,96.8,71.6,100.0,100.0,-1.74,0.81,9.77,356.81,-9.69,-4.50,0,0
93.7,97.8,72.7,100.0,100.0,-1.70,0.79,9.78,356.81,-9.69,-4.50,0,0
93.7,96.5,71.7,100.0,100.0,-1.71,0.80,9.81,356.81,-9.69,-4.50,0,0
